DATETIME,key,trade,fill,fill_datetime,filled_price,locked,order_id,parent,children,active,order_type,algo_to_use,reference_price,limit_price,manual_trade,manual_fill,roll_order,calendar_spread_order,inter_spread_order,generated_datetime,reference_of_controlling_algo
,rob_system/GAS_US_mini/20230800,[-2],[0],,,0.0,2,2,,False,best,sysexecution.algos.algo_original_best.algoOriginalBest,2.275,,0.0,0.0,0.0,False,0.0,2023-06-01 18:52:55.706,
,rob_system/DOW/20230900,[-1],[0],,,0.0,3,3,,False,best,sysexecution.algos.algo_original_best.algoOriginalBest,33406.0,,0.0,0.0,0.0,False,0.0,2023-06-01 18:52:55.739,
,rob_system/GOLD_micro/20230800,[-2],[0],,,0.0,4,4,,False,best,sysexecution.algos.algo_original_best.algoOriginalBest,1995.2,,0.0,0.0,0.0,False,0.0,2023-06-01 18:52:55.763,
,rob_system/NASDAQ_micro/20230900,[1],[0],,,0.0,5,5,,False,best,sysexecution.algos.algo_original_best.algoOriginalBest,14667.25,,0.0,0.0,0.0,False,0.0,2023-06-01 18:52:57.108,
,rob_system/DAX/20230900,[1],[0],,,0.0,6,6,,False,best,sysexecution.algos.algo_original_best.algoOriginalBest,16050.0,,0.0,0.0,0.0,False,0.0,2023-06-01 18:52:57.136,
,rob_system/JPY/20230900,[-1],[0],,,0.0,7,7,,False,best,sysexecution.algos.algo_original_best.algoOriginalBest,0.007325,,0.0,0.0,0.0,False,0.0,2023-06-01 18:52:57.161,
2023-06-21 12:11:29.000,rob_system/GOLD_micro/20230800,[-1],[-1],2023-06-21 12:11:29.000,1942.9,0.0,8,34,[2],False,best,sysexecution.algos.algo_original_best.algoOriginalBest,1970.7,,0.0,0.0,0.0,False,0.0,2023-06-21 11:48:30.187,sysexecution.algos.algo_original_best.algoOriginalBest
2023-06-21 12:12:31.000,rob_system/GAS_US_mini/20230900,[-3],[-1],2023-06-21 12:12:31.000,2.625,0.0,9,35,[3],False,best,sysexecution.algos.algo_original_best.algoOriginalBest,2.695,,0.0,0.0,0.0,False,0.0,2023-06-21 11:48:30.212,
2023-06-21 12:12:33.000,rob_system/NASDAQ_micro/20230900,[1],[1],2023-06-21 12:12:33.000,15051.5,0.0,10,36,[4],False,best,sysexecution.algos.algo_original_best.algoOriginalBest,15301.5,,0.0,0.0,0.0,False,0.0,2023-06-21 11:48:30.259,sysexecution.algos.algo_original_best.algoOriginalBest
,rob_system/FTSETAIWAN/20230600,[1],[0],,,0.0,11,37,,False,best,sysexecution.algos.algo_original_best.algoOriginalBest,1490.5,,0.0,0.0,0.0,False,0.0,2023-06-21 11:48:30.271,
2023-06-21 12:12:45.000,rob_system/JPY/20230900,[-1],[-1],2023-06-21 12:12:45.000,0.007134,0.0,12,38,[5],False,best,sysexecution.algos.algo_original_best.algoOriginalBest,0.007149,,0.0,0.0,0.0,False,0.0,2023-06-21 11:48:30.331,sysexecution.algos.algo_original_best.algoOriginalBest
,rob_system/CNH/20230700,[1],[0],,,0.0,13,39,,False,best,sysexecution.algos.algo_original_best.algoOriginalBest,7.096,,0.0,0.0,0.0,False,0.0,2023-06-21 11:48:30.347,
,rob_system/EUROSTX/20230900,[1],[0],,,0.0,14,40,,False,best,sysexecution.algos.algo_original_best.algoOriginalBest,4430.0,,0.0,0.0,0.0,False,0.0,2023-06-21 11:48:30.367,
2023-06-21 15:36:31.564,rob_system/EUROSTX/20230900,[1],[1],2023-06-21 15:36:31.564,4430.0,0.0,15,41,[6],False,balance_trade,balance_trade,,,1.0,1.0,0.0,False,0.0,2023-06-21 15:36:45.749,
2023-06-21 15:38:03.453,rob_system/CNH/20230700,[1],[1],2023-06-21 15:38:03.453,7.096,0.0,16,42,[7],False,balance_trade,balance_trade,,,1.0,1.0,0.0,False,0.0,2023-06-21 15:38:08.630,
2023-06-21 15:38:39.347,rob_system/FTSETAIWAN/20230600,[1],[1],2023-06-21 15:38:39.347,1490.5,0.0,17,43,[8],False,balance_trade,balance_trade,,,1.0,1.0,0.0,False,0.0,2023-06-21 15:38:43.783,
